Member_number,Date,productId,items,productName,price,Category,amount,Transactions_id,Year,Month,Cluster,ClusterName,Recency,Frequency,Monetary
1061,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,222,2015,9,2,Diamond Customers,116,5,149.1
3276,2015-04-03,2,2,whole milk,1.8,Dairy,3.6,8472,2015,4,5,Regular Customers,183,4,151.8
1326,2015-06-19,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,1180,2015,6,0,Loyal Customers,51,3,103.8
3023,2015-07-28,5,3,rolls/buns,1.2,Bakery & Sweets,3.6,7532,2015,7,5,Regular Customers,155,3,68.8
2185,2015-10-11,29,1,ham,15.2,Fresh Food,15.2,4418,2015,10,0,Loyal Customers,80,4,69.9
3552,2015-06-16,5,3,rolls/buns,1.2,Bakery & Sweets,3.6,9496,2015,6,5,Regular Customers,119,5,113.16
1967,2015-01-20,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,3611,2015,1,0,Loyal Customers,64,6,93.95
4708,2015-03-20,19,2,sausage,3.1,Fresh Food,6.2,13902,2015,3,2,Diamond Customers,89,5,157.8
2874,2015-02-15,19,1,sausage,3.1,Fresh Food,3.1,7003,2015,2,5,Regular Customers,112,4,88.1
4177,2015-04-13,9,2,frankfurter,5.5,Fresh Food,11.0,11825,2015,4,4,Potential Customers,198,3,70.3
1663,2015-02-07,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,2446,2015,2,0,Loyal Customers,49,4,100.1
2632,2015-03-02,2,2,whole milk,1.8,Dairy,3.6,6083,2015,3,2,Diamond Customers,98,9,254.8
1377,2015-03-14,31,2,curd cheese,9.2,Dairy,18.4,1367,2015,3,4,Potential Customers,291,3,92.9
4162,2015-12-22,32,2,red/blush wine,12.2,Beverages,24.4,11771,2015,12,0,Loyal Customers,8,4,114.0
2270,2015-07-01,19,2,sausage,3.1,Fresh Food,6.2,4726,2015,7,2,Diamond Customers,91,6,222.4
4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food,15.6,14368,2015,11,0,Loyal Customers,57,1,25.2
3811,2015-04-14,32,1,red/blush wine,12.2,Beverages,12.2,10482,2015,4,5,Regular Customers,189,7,79.6
4766,2015-09-29,2,3,whole milk,1.8,Dairy,5.4,14124,2015,9,2,Diamond Customers,92,4,119.26
2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food,11.0,5344,2015,4,0,Loyal Customers,36,4,86.6
3860,2015-05-05,2,2,whole milk,1.8,Dairy,3.6,10669,2015,5,4,Potential Customers,239,2,51.27
4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food,6.0,14544,2015,5,2,Diamond Customers,65,8,221.4
1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food,1.6,2140,2015,7,5,Regular Customers,182,5,101.62
4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food,3.0,11302,2015,7,0,Loyal Customers,54,3,91.6
4750,2015-09-21,34,2,flour,2.1,Pantry Staples,4.2,14069,2015,9,5,Regular Customers,100,4,94.52
1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets,3.6,727,2015,12,0,Loyal Customers,20,4,57.5
1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food,29.1,2201,2015,9,0,Loyal Customers,91,5,106.75
3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets,23.0,7869,2015,1,0,Loyal Customers,7,6,113.7
3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food,5.4,10785,2015,12,0,Loyal Customers,17,4,92.9
1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food,1.8,1657,2015,9,2,Diamond Customers,40,6,168.74
2022,2015-03-04,37,2,herbs,6.5,Fresh Food,13.0,3808,2015,3,2,Diamond Customers,161,6,260.7
2505,2015-11-30,17,1,bottled water,0.5,Beverages,0.5,5588,2015,11,0,Loyal Customers,30,4,76.9
4851,2015-12-20,19,1,sausage,3.1,Fresh Food,3.1,14448,2015,12,2,Diamond Customers,10,5,145.2
4293,2015-08-04,27,2,coffee,8.5,Beverages,17.0,12292,2015,8,2,Diamond Customers,91,7,265.7
2775,2015-11-06,23,3,pork,7.2,Fresh Food,21.6,6625,2015,11,0,Loyal Customers,54,4,83.3
3693,2015-02-18,26,1,berries,10.8,Fresh Food,10.8,10039,2015,2,0,Loyal Customers,44,3,96.5
1202,2015-07-22,38,2,soda,0.8,Beverages,1.6,737,2015,7,5,Regular Customers,161,4,61.6
3699,2015-08-23,26,1,berries,10.8,Fresh Food,10.8,10062,2015,8,0,Loyal Customers,18,3,119.8
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,2.1,11728,2015,4,4,Potential Customers,195,5,115.0
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,1.5,11748,2015,1,2,Diamond Customers,97,6,157.5
4010,2015-12-29,23,1,pork,7.2,Fresh Food,7.2,11205,2015,12,0,Loyal Customers,1,2,19.4
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,16.5,12681,2015,10,2,Diamond Customers,13,7,231.44
3746,2015-08-17,40,1,grapes,9.4,Fresh Food,9.4,10232,2015,8,0,Loyal Customers,51,5,112.9
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,3.1,5811,2015,5,2,Diamond Customers,34,6,165.52
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,7.2,1850,2015,7,5,Regular Customers,135,3,94.5
2555,2015-12-23,2,3,whole milk,1.8,Dairy,5.4,5794,2015,12,2,Diamond Customers,7,7,194.4
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,1.5,9846,2015,12,0,Loyal Customers,18,4,73.5
3886,2015-09-11,38,1,soda,0.8,Beverages,0.8,10760,2015,9,0,Loyal Customers,42,3,50.0
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,9.3,7195,2015,3,4,Potential Customers,285,4,88.5
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,16.5,2595,2015,6,2,Diamond Customers,38,8,163.66
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,9.3,12281,2015,12,0,Loyal Customers,21,6,86.36
1143,2015-04-25,38,1,soda,0.8,Beverages,0.8,523,2015,4,4,Potential Customers,249,5,54.5
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,3.6,13326,2015,7,2,Diamond Customers,56,6,142.26
3337,2015-05-14,8,3,beef,19.5,Fresh Food,58.5,8699,2015,5,4,Potential Customers,203,5,141.86
4931,2015-05-04,2,1,whole milk,1.8,Dairy,1.8,14712,2015,5,4,Potential Customers,240,5,68.1
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,19.200000000000003,6050,2015,10,0,Loyal Customers,81,3,65.5
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,7.8,13391,2015,4,4,Potential Customers,271,2,34.0
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,11.0,6098,2015,6,5,Regular Customers,104,2,67.2
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,340,2015,10,0,Loyal Customers,61,3,57.76
2990,2015-05-23,2,2,whole milk,1.8,Dairy,3.6,7413,2015,5,2,Diamond Customers,140,9,303.61
2426,2015-06-05,26,1,berries,10.8,Fresh Food,10.8,5298,2015,6,2,Diamond Customers,113,7,203.5
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,4.5,13291,2015,11,0,Loyal Customers,53,5,77.7
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,7.8,9809,2015,9,2,Diamond Customers,17,7,228.33
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,24.6,7668,2015,5,5,Regular Customers,156,3,72.4
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,12.3,12691,2015,3,4,Potential Customers,279,6,143.84
1306,2015-06-23,2,3,whole milk,1.8,Dairy,5.4,1115,2015,6,0,Loyal Customers,40,3,58.19
1024,2015-08-10,42,3,fish,10.2,Fresh Food,30.6,95,2015,8,5,Regular Customers,142,1,58.2
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,11.0,1076,2015,7,5,Regular Customers,160,3,62.35
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,3.5,2438,2015,6,0,Loyal Customers,52,6,115.16
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,9.3,13426,2015,5,4,Potential Customers,200,3,68.0
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,1.6,8086,2015,6,5,Regular Customers,181,2,43.2
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,3.6,10874,2015,5,2,Diamond Customers,91,10,192.63
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,16.5,463,2015,1,0,Loyal Customers,76,4,85.16
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,12.5,14362,2015,8,2,Diamond Customers,80,7,201.41
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,15.6,9999,2015,6,0,Loyal Customers,25,5,123.12
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,3.1,3628,2015,9,5,Regular Customers,103,3,120.55
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,27.6,7500,2015,11,2,Diamond Customers,49,5,256.0
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,11.0,10366,2015,9,2,Diamond Customers,50,6,161.05
2489,2015-05-04,2,3,whole milk,1.8,Dairy,5.4,5537,2015,5,0,Loyal Customers,8,4,62.42
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9547,2015,6,5,Regular Customers,179,3,40.3
4092,2015-09-30,26,1,berries,10.8,Fresh Food,10.8,11486,2015,9,2,Diamond Customers,91,4,137.5
3221,2015-01-13,45,2,curd,9.8,Dairy,19.6,8275,2015,1,2,Diamond Customers,184,9,220.9
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,23.4,1007,2015,9,5,Regular Customers,111,6,112.9
2581,2015-08-22,38,3,soda,0.8,Beverages,2.4000000000000004,5891,2015,8,0,Loyal Customers,16,5,99.85
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,4834,2015,2,0,Loyal Customers,2,4,47.9
4760,2015-02-22,25,3,canned beer,1.1,Beverages,3.3000000000000003,14101,2015,2,4,Potential Customers,272,4,122.7
3649,2015-01-16,25,3,canned beer,1.1,Beverages,3.3000000000000003,9859,2015,1,4,Potential Customers,192,7,177.2
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,5.5,270,2015,11,0,Loyal Customers,41,4,80.3
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,11142,2015,8,5,Regular Customers,133,4,61.05
4106,2015-08-25,2,3,whole milk,1.8,Dairy,5.4,11544,2015,8,5,Regular Customers,127,5,89.8
4338,2015-06-24,2,2,whole milk,1.8,Dairy,3.6,12498,2015,6,2,Diamond Customers,80,11,239.75
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,3.0,11790,2015,11,0,Loyal Customers,54,4,58.26
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,5.5,765,2015,3,4,Potential Customers,220,6,107.75
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,16.5,11011,2015,1,4,Potential Customers,323,2,126.5
3928,2015-07-18,16,3,butter milk,6.1,Dairy,18.3,10926,2015,7,5,Regular Customers,95,3,72.12
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,36.900000000000006,10540,2015,9,2,Diamond Customers,57,6,169.73
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,3.1,13870,2015,2,2,Diamond Customers,151,6,162.93
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,0.8,14054,2015,6,2,Diamond Customers,128,5,175.42
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,6.2,7550,2015,6,4,Potential Customers,204,6,178.2
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,6911,2015,3,2,Diamond Customers,105,9,277.4
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,28.200000000000003,12786,2015,2,4,Potential Customers,226,4,217.2
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,5.4,10527,2015,3,2,Diamond Customers,96,5,221.47
2288,2015-05-31,27,1,coffee,8.5,Beverages,8.5,4797,2015,5,4,Potential Customers,213,4,83.12
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,7.199999999999999,4415,2015,6,2,Diamond Customers,23,8,241.86
4554,2015-08-27,2,3,whole milk,1.8,Dairy,5.4,13290,2015,8,5,Regular Customers,125,4,102.6
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,7.8,8782,2015,3,2,Diamond Customers,161,9,240.5
2999,2015-04-17,8,1,beef,19.5,Fresh Food,19.5,7449,2015,4,5,Regular Customers,149,3,76.3
2614,2015-06-25,2,3,whole milk,1.8,Dairy,5.4,6019,2015,6,5,Regular Customers,188,1,9.0
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,16.5,11374,2015,6,5,Regular Customers,104,3,83.9
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,23.4,9551,2015,10,0,Loyal Customers,87,2,63.5
2587,2015-05-07,25,2,canned beer,1.1,Beverages,2.2,5912,2015,5,4,Potential Customers,211,5,84.25
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,13.0,10386,2015,6,4,Potential Customers,191,7,148.0
1923,2015-02-14,49,2,beverages,1.1,Beverages,2.2,3440,2015,2,0,Loyal Customers,24,6,93.15
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,12.3,14391,2015,2,0,Loyal Customers,21,6,77.84
1514,2015-08-24,2,2,whole milk,1.8,Dairy,3.6,1893,2015,8,5,Regular Customers,128,5,63.54
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,6.5,8033,2015,6,5,Regular Customers,191,5,84.12
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,0.8,1141,2015,12,0,Loyal Customers,5,1,17.3
2794,2015-07-18,29,2,ham,15.2,Fresh Food,30.4,6699,2015,7,2,Diamond Customers,92,7,236.4
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,1.6,5066,2015,4,5,Regular Customers,124,5,101.62
2238,2015-03-09,45,2,curd,9.8,Dairy,19.6,4615,2015,3,0,Loyal Customers,24,4,100.9
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,5.4,10431,2015,1,1,New Customers,347,3,44.3
3724,2015-11-26,45,2,curd,9.8,Dairy,19.6,10143,2015,11,0,Loyal Customers,19,3,76.8
1152,2015-03-05,2,3,whole milk,1.8,Dairy,5.4,559,2015,3,5,Regular Customers,164,4,83.05
4559,2015-03-16,2,1,whole milk,1.8,Dairy,1.8,13310,2015,3,4,Potential Customers,232,4,54.2
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,3.45,10905,2015,2,2,Diamond Customers,124,5,200.25
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,6.2,2587,2015,4,4,Potential Customers,252,2,34.4
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,0.8,4538,2015,4,4,Potential Customers,257,3,19.2
2206,2015-10-17,29,1,ham,15.2,Fresh Food,15.2,4491,2015,10,0,Loyal Customers,74,3,40.5
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,0.8,2754,2015,4,4,Potential Customers,255,5,48.6
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,10973,2015,11,2,Diamond Customers,50,8,134.61
3296,2015-08-17,38,2,soda,0.8,Beverages,1.6,8547,2015,8,5,Regular Customers,135,5,119.5
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,6.5,4685,2015,2,4,Potential Customers,229,4,64.9
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,5.5,12387,2015,7,5,Regular Customers,155,4,97.42
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,3731,2015,8,2,Diamond Customers,112,7,264.32
2449,2015-07-08,45,3,curd,9.8,Dairy,29.4,5408,2015,7,5,Regular Customers,175,4,85.6
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,16.5,14659,2015,4,0,Loyal Customers,31,4,95.16
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,1.6,6588,2015,7,0,Loyal Customers,2,6,92.75
4187,2015-05-09,52,3,dog food,12.6,Pet Care,37.8,11863,2015,5,2,Diamond Customers,63,8,189.73
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,5.2,1431,2015,4,4,Potential Customers,254,3,85.9
3427,2015-04-28,45,2,curd,9.8,Dairy,19.6,9005,2015,4,4,Potential Customers,246,4,136.7
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,5.5,1494,2015,2,4,Potential Customers,313,2,70.32
3390,2015-11-14,38,1,soda,0.8,Beverages,0.8,8877,2015,11,0,Loyal Customers,29,5,108.04
4787,2015-08-01,8,3,beef,19.5,Fresh Food,58.5,14199,2015,8,5,Regular Customers,140,6,117.9
3310,2015-01-17,25,2,canned beer,1.1,Beverages,2.2,8610,2015,1,4,Potential Customers,230,4,56.55
1782,2015-10-10,23,3,pork,7.2,Fresh Food,21.6,2878,2015,10,2,Diamond Customers,81,6,164.2
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,8831,2015,4,4,Potential Customers,248,3,81.5
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,6.2,6565,2015,1,5,Regular Customers,144,9,135.4
4249,2015-09-13,25,1,canned beer,1.1,Beverages,1.1,12117,2015,9,0,Loyal Customers,26,5,87.28
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,18.8,7089,2015,6,5,Regular Customers,104,4,60.3
4090,2015-02-26,45,2,curd,9.8,Dairy,19.6,11476,2015,2,4,Potential Customers,307,3,44.12
3060,2015-07-05,25,1,canned beer,1.1,Beverages,1.1,7674,2015,7,5,Regular Customers,178,3,45.4
3768,2015-10-07,2,2,whole milk,1.8,Dairy,3.6,10326,2015,10,2,Diamond Customers,84,7,239.91
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,841,2015,1,5,Regular Customers,182,3,33.0
1360,2015-10-23,23,3,pork,7.2,Fresh Food,21.6,1308,2015,10,2,Diamond Customers,14,5,195.2
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,3.0,378,2015,10,2,Diamond Customers,90,8,129.38
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,10.5,6962,2015,11,0,Loyal Customers,56,3,86.8
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,7300,2015,6,4,Potential Customers,199,5,76.4
2448,2015-07-12,11,1,butter,3.2,Dairy,3.2,5401,2015,7,0,Loyal Customers,1,6,74.9
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,3.5,805,2015,9,5,Regular Customers,97,2,16.8
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,3.1,7238,2015,6,5,Regular Customers,193,4,54.23
2270,2015-08-11,2,3,whole milk,1.8,Dairy,5.4,4729,2015,8,2,Diamond Customers,91,6,222.4
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,3.1,10491,2015,7,2,Diamond Customers,47,8,150.65
1482,2015-11-22,49,2,beverages,1.1,Beverages,2.2,1762,2015,11,0,Loyal Customers,38,6,115.28
4720,2015-02-22,49,2,beverages,1.1,Beverages,2.2,13949,2015,2,4,Potential Customers,311,6,113.4
1344,2015-09-04,17,2,bottled water,0.5,Beverages,1.0,1253,2015,9,5,Regular Customers,117,2,25.5
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,9.6,5204,2015,10,0,Loyal Customers,87,2,51.94
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,11.8,11845,2015,5,5,Regular Customers,131,6,126.1
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,3.1,13029,2015,7,2,Diamond Customers,163,7,194.7
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9146,2015,12,2,Diamond Customers,6,6,177.76
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,9.3,5379,2015,11,2,Diamond Customers,45,7,241.7
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,2.4,6524,2015,1,5,Regular Customers,191,3,65.1
4389,2015-04-13,56,2,white wine,14.2,Beverages,28.4,12679,2015,4,2,Diamond Customers,13,7,231.44
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,3.1,2472,2015,12,0,Loyal Customers,26,4,115.55
4262,2015-10-16,57,2,meat,8.5,Fresh Food,17.0,12169,2015,10,2,Diamond Customers,75,7,137.1
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,11.0,4050,2015,4,0,Loyal Customers,37,4,45.9
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,5.4,13052,2015,1,2,Diamond Customers,58,9,277.9
2460,2015-09-28,25,3,canned beer,1.1,Beverages,3.3000000000000003,5446,2015,9,0,Loyal Customers,12,4,70.7
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,23.4,13122,2015,11,2,Diamond Customers,31,6,290.74
2267,2015-07-03,57,3,meat,8.5,Fresh Food,25.5,4717,2015,7,2,Diamond Customers,49,6,151.6
